Attr 5_ClampedValues,Attr 5_ClampNormalizedValues,Attr 6_ClampedValues,Attr 6_ClampNormalizedValues,Attr 7_ClampedValues,Attr 7_ClampNormalizedValues,Attr 12_ClampedValues,Attr 12_ClampNormalizedValues
-1.6541674009999996,-1.0,7.777679593375001,1.0,-2.0375907462500003,-0.9128709291752769,-976.6014252325,-1.2792042981336627
-1.6541674009999996,-1.0,7.777679593375001,1.0,-2.0375907462500003,-0.9128709291752769,-976.6014252325,-1.2792042981336627
-1.6541674009999996,-1.0,7.777679593375001,1.0,-2.0375907462500003,-0.9128709291752769,1042.3841587924999,0.7817359599705715
-1.6541674009999996,-1.0,7.777679593375001,1.0,-2.0375907462500003,-0.9128709291752769,1042.3841587924999,0.7817359599705715
-1.6541674009999996,-1.0,7.777679593375001,1.0,-2.0375907462500003,-0.9128709291752769,1042.3841587924999,0.7817359599705715
-1.6541674009999996,-1.0,7.777679593375001,1.0,2.1766215002500005,1.0954451150103321,1042.3841587924999,0.7817359599705715
-1.6541674009999996,-1.0,7.777679593375001,1.0,2.1766215002500005,1.0954451150103321,1042.3841587924999,0.7817359599705715
-1.6541674009999996,-1.0,7.777679593375001,1.0,2.1766215002500005,1.0954451150103321,-976.6014252325,-1.2792042981336627
-1.6541674009999996,-1.0,7.777679593375001,1.0,-2.0375907462500003,-0.9128709291752769,1042.3841587924999,0.7817359599705715
-1.6541674009999996,-1.0,7.777679593375001,1.0,2.1766215002500005,1.0954451150103321,1042.3841587924999,0.7817359599705715
-1.6541674009999996,-1.0,7.777679593375001,1.0,2.1766215002500005,1.0954451150103321,-976.6014252325,-1.2792042981336627
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,1042.3841587924999,0.7817359599705715
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,1042.3841587924999,0.7817359599705715
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,-976.6014252325,-1.2792042981336627
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,-976.6014252325,-1.2792042981336627
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,1042.3841587924999,0.7817359599705715
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,1042.3841587924999,0.7817359599705715
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,-976.6014252325,-1.2792042981336627
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,-976.6014252325,-1.2792042981336627
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,-976.6014252325,-1.2792042981336627
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,1042.3841587924999,0.7817359599705715
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,1042.3841587924999,0.7817359599705715
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,1042.3841587924999,0.7817359599705715
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,1042.3841587924999,0.7817359599705715
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,-976.6014252325,-1.2792042981336627
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,1042.3841587924999,0.7817359599705715
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,1042.3841587924999,0.7817359599705715
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,-976.6014252325,-1.2792042981336627
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,1042.3841587924999,0.7817359599705715
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
