Attr 5_ClampedValues,Attr 5_ClampNormalizedValues,Attr 6_ClampedValues,Attr 6_ClampNormalizedValues,Attr 7_ClampedValues,Attr 7_ClampNormalizedValues,Attr 12_ClampedValues,Attr 12_ClampNormalizedValues
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
-1.6541674009999996,-1.0,7.777679593375001,1.0,,,,
